Date : 2026-06-22 15:54:40
Directory : ./Agent1
Total : 91 files,  13891 codes, 2620 comments, 2471 blanks, all 18982 lines, 15.87% comment rate

Languages
+----------+------------+------------+------------+------------+------------+--------------+
| language | files      | code       | comment    | blank      | total      | comment rate |
+----------+------------+------------+------------+------------+------------+--------------+
| C#       |         89 |     13,709 |      2,614 |      2,465 |     18,788 |       16.01% |
| JSON     |          1 |        145 |          0 |          1 |        146 |        0.00% |
| XML      |          1 |         37 |          6 |          5 |         48 |       13.95% |
+----------+------------+------------+------------+------------+------------+--------------+

Directories
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                              | files      | code       | comment    | blank      | total      | comment rate |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                 |         91 |     13,891 |      2,620 |      2,471 |     18,982 |       15.87% |
| Services                                          |         68 |     11,715 |      1,935 |      1,969 |     15,619 |       14.18% |
| Services\Knowledge                                |         13 |      3,151 |        625 |        513 |      4,289 |       16.55% |
| Services\Dialog                                   |         10 |      2,241 |        302 |        391 |      2,934 |       11.88% |
| Services\Infrastructure                           |         11 |      1,555 |        122 |        206 |      1,883 |        7.27% |
| Services\Compliance                               |          7 |      1,399 |        268 |        265 |      1,932 |       16.08% |
| Services\AI                                       |          6 |      1,239 |        227 |        227 |      1,693 |       15.48% |
| Services\Memory                                   |          7 |      1,006 |        142 |        170 |      1,318 |       12.37% |
| Services\Eval                                     |          1 |        778 |        104 |        117 |        999 |       11.79% |
| Modules                                           |         12 |        733 |        117 |        152 |      1,002 |       13.76% |
| Models                                            |          5 |        391 |         85 |        161 |        637 |       17.86% |
| Commands                                          |          1 |        340 |         19 |         55 |        414 |        5.29% |
| Config                                            |          2 |        283 |        108 |         86 |        477 |       27.62% |
| Services\Monitoring                               |          4 |        164 |         55 |         29 |        248 |       25.11% |
| Services\Logging                                  |          7 |        132 |         56 |         39 |        227 |       29.79% |
| Services\Logging\Enrichers                        |          4 |         57 |         25 |         18 |        100 |       30.49% |
| Services\Security                                 |          2 |         50 |         34 |         12 |         96 |       40.48% |
| Services\Logging\Filters                          |          1 |         40 |         14 |          7 |         61 |       25.93% |
| Services\Logging\Sinks                            |          1 |         22 |          7 |          8 |         37 |       24.14% |
+---------------------------------------------------+------------+------------+------------+------------+------------+--------------+

Files
+---------------------------------------------------+----------+------------+------------+------------+------------+--------------+
| filename                                          | language | code       | comment    | blank      | total      | comment rate |
+---------------------------------------------------+----------+------------+------------+------------+------------+--------------+
| Agent1.csproj                                     | XML      |         37 |          6 |          5 |         48 |       13.95% |
| Commands\MenuCommands.cs                          | C#       |        340 |         19 |         55 |        414 |        5.29% |
| Config\AppConfig.cs                               | C#       |        260 |         86 |         76 |        422 |       24.86% |
| Config\ModelConfig.cs                             | C#       |         23 |         22 |         10 |         55 |       48.89% |
| Models\ChemicalSubstanceModels.cs                 | C#       |         50 |         50 |         35 |        135 |       50.00% |
| Models\DialogTypes.cs                             | C#       |         24 |          0 |          6 |         30 |        0.00% |
| Models\EvalModels.cs                              | C#       |        266 |         21 |        104 |        391 |        7.32% |
| Models\LongTermMemoryModels.cs                    | C#       |         35 |         13 |         13 |         61 |       27.08% |
| Models\ModuleType.cs                              | C#       |         16 |          1 |          3 |         20 |        5.88% |
| Modules\CoTSolidModule.cs                         | C#       |         18 |         23 |          4 |         45 |       56.10% |
| Modules\CoTStreamModule.cs                        | C#       |         18 |         24 |          3 |         45 |       57.14% |
| Modules\ComplianceCheckModule.cs                  | C#       |        119 |         11 |         18 |        148 |        8.46% |
| Modules\EmergencyResponseModule.cs                | C#       |        104 |          6 |         25 |        135 |        5.45% |
| Modules\KnowledgeGraphModule.cs                   | C#       |         39 |          4 |         10 |         53 |        9.30% |
| Modules\RAGModule.cs                              | C#       |         18 |         21 |          3 |         42 |       53.85% |
| Modules\ReActSolidModule.cs                       | C#       |         18 |          0 |          6 |         24 |        0.00% |
| Modules\ReActStreamModule.cs                      | C#       |         18 |          0 |          6 |         24 |        0.00% |
| Modules\ReflectionModule.cs                       | C#       |         18 |          0 |          6 |         24 |        0.00% |
| Modules\RegulatoryAuditModule.cs                  | C#       |        147 |         12 |         28 |        187 |        7.55% |
| Modules\TicketFollowupModule.cs                   | C#       |        132 |         16 |         25 |        173 |       10.81% |
| Modules\UnifiedDialogModule.cs                    | C#       |         84 |          0 |         18 |        102 |        0.00% |
| Program.cs                                        | C#       |        247 |        350 |         42 |        639 |       58.63% |
| Services\AI\ILlmService.cs                        | C#       |         15 |          3 |          4 |         22 |       16.67% |
| Services\AI\IToolService.cs                       | C#       |         11 |          0 |          1 |         12 |        0.00% |
| Services\AI\LlmService.cs                         | C#       |        763 |        148 |        145 |      1,056 |       16.25% |
| Services\AI\MultimodalService.cs                  | C#       |         97 |         24 |         18 |        139 |       19.83% |
